zip,state,country,desc
501,NY,US,HOLTSVILLE
501,NY,US,INTERNAL REVENUE SERVICE
544,NY,US,HOLTSVILLE
544,NY,US,INTERNAL REVENUE SERVICE
601,PR,US,ADJUNTAS
601,PR,US,JARD DE ADJUNTAS
601,PR,US,URB SAN JOAQUIN
601,PR,US,COLINAS DEL GIGANTE
602,PR,US,EXT LOS ROBLES
602,PR,US,AGUADA
602,PR,US,ALTS DE AGUADA
602,PR,US,URB ISABEL LA CATOLICA
602,PR,US,COMUNIDAD LAS FLORES
602,PR,US,BO GUANIQUILLA
602,PR,US,SECT MARIANO CONCEPCION
602,PR,US,SECT JUAN RAMIREZ
602,PR,US,SECT LA CEIBA
603,PR,US,AGUADILLA
603,PR,US,RAMEY
603,PR,US,BO BORINQUEN
603,PR,US,REPTO LOPEZ
603,PR,US,URB BORINQUEN
603,PR,US,URB GARCIA
603,PR,US,URB MALEZA GDNS
603,PR,US,URB MARBELLA
603,PR,US,URB RUBIANES
603,PR,US,URB SAN CARLOS
603,PR,US,URB SANTA MARTA
603,PR,US,URB VICTORIA
603,PR,US,VISTA ALEGRE
603,PR,US,VISTA VERDE
603,PR,US,VILLA ALEGRIA
603,PR,US,VILLA LINDA
603,PR,US,VILLA LYDIA
603,PR,US,SECT LAS VILLAS
603,PR,US,URB EL PRADO
603,PR,US,URB LAS AMERICAS
603,PR,US,REPTO JIMENEZ
603,PR,US,EXT EL PRADO
603,PR,US,EXT MARBELLA
603,PR,US,BDA ESTEVES
603,PR,US,URB RAMEY
603,PR,US,BDA CABAN
603,PR,US,URB ESTEVES
603,PR,US,VILLA UNIVERSITARIA
603,PR,US,REPTO TRES PALMAS
603,PR,US,REPTO JUAN AGUIAR
603,PR,US,VILLAS DE ALMERIA
603,PR,US,BO CEIBA BAJA
603,PR,US,URB LAS CASITAS COUNTRY CLUB
603,PR,US,BRISAS DEL PARAISO
603,PR,US,LAS BRISAS
604,PR,US,AGUADILLA
604,PR,US,RAMEY
605,PR,US,AGUADILLA
606,PR,US,MARICAO
606,PR,US,URB SAN JUAN BAUTISTA
610,PR,US,ANASCO
610,PR,US,JARD DE ANASCO
610,PR,US,REPTO DAGUEY
610,PR,US,BRISAS DE ANASCO
610,PR,US,URB SAN ANTONIO
610,PR,US,SECT SANCHEZ
610,PR,US,PASEO DEL VALLE
610,PR,US,URB LOS ARBOLES
610,PR,US,EST DE VALLE VERDE
